user_id,event_type,event_time
2e5d8815-4e59-4302-99c0-6fc9593a2eef,GATE_IN,2023-01-31T08:18:36.000Z
a8c60645-aef4-4b4e-aefb-65e242536c2f,GATE_IN,2023-01-31T08:43:41.000Z
0b99d382-ea52-4a1d-8e9e-218933c0d7b8,gate_in,2023-01-31T08:43:47.000Z
d22c03ba-00f7-4473-bc9d-61136643994f,GATE_IN,2023-01-31T09:04:08.000Z
1fcdd2f5-13ed-4ee8-b4ec-706654e68472,GATE_IN,2023-01-31T09:12:56.000Z
0b99d382-ea52-4a1d-8e9e-218933c0d7b8,GATE_OUT,2023-01-31T09:16:11.000Z
2c4c1aa0-5dd6-4fc1-b474-6c2ed92dd43c,GATE_IN,2023-01-31T09:16:39.000Z
45887b17-5c63-410d-9ae3-e645743c3076,gate_in,2023-01-31T09:19:30.000Z
bfa0f1f9-300e-41ad-bcff-0c3bd79595f1,GATE_IN,2023-01-31T09:27:20.000Z
1fcdd2f5-13ed-4ee8-b4ec-706654e68472,GATE_OUT,2023-01-31T09:27:50.000Z
67e4c352-bda1-4289-b0a4-0e25f67af5f2,GATE_IN,2023-01-31T09:37:43.000Z
1f55d290-49ff-4512-b1c1-ee92ec9680ab,GATE_IN,2023-01-31T09:52:02.000Z
67e4c352-bda1-4289-b0a4-0e25f67af5f2,GATE_OUT,2023-01-31T09:56:58.000Z
b12841ab-ad59-42bc-ad7c-8e9c97cb8fba,GATE_IN,2023-01-31T09:58:21.000Z
d22c03ba-00f7-4473-bc9d-61136643994f,GATE_OUT,2023-01-31T10:06:02.000Z
495958c6-3d03-43e3-b324-b3191d5c78f1,GATE_IN,2023-01-31T10:09:11.000Z
2e5d8815-4e59-4302-99c0-6fc9593a2eef,GATE_OUT,2023-01-31T10:20:07.000Z
0e581334-ccca-4141-9731-ddf544b1c549,gate_in,2023-01-31T10:32:09.000Z
45887b17-5c63-410d-9ae3-e645743c3076,GATE_OUT,2023-01-31T10:48:53.000Z
0b99d382-ea52-4a1d-8e9e-218933c0d7b8,GATE_IN,2023-01-31T10:50:21.000Z
5dafb3b2-22aa-4039-a2f0-3cf711f84177,GATE_IN,2023-01-31T11:06:23.000Z
